title,description,subjects,preprocesado_lema,preprocesado,texto_limpio,contador_palabras,subjects_old
The Fall of the House of Usher,"""The Fall of the House of Usher"" is a short story by American writer Edgar Allan Poe, first published in 1839 in Burton's Gentleman's Magazine, then included in the collection Tales of the Grotesque and Arabesque in 1840. The short story, a work of Gothic fiction, includes themes of madness, family, isolation, and metaphysical identities.",['mystery'],fall house usher short story american writer edgar allan poe first publish 1839 burton gentleman magazine then include collection tale grotesque arabesque 1840 short story work gothic fiction include theme madness family isolation metaphysical identity,fall house usher short story american writer edgar allan poe first published 1839 burton gentleman magazine then included collection tales grotesque arabesque 1840 short story work gothic fiction includes themes madness family isolation metaphysical identities,"""The Fall of the House of Usher"" is a short story by American writer Edgar Allan Poe, first published in 1839 in Burton's Gentleman's Magazine, then included in the collection Tales of the Grotesque and Arabesque in 1840. The short story, a work of Gothic fiction, includes themes of madness, family, isolation, and metaphysical identities.",35,"['horror', 'short_stories']"
In a glass darkly,"In a Glass Darkly collects together five short stories from gothic horror and mystery writer Sheridan Le Fanu. The book, published in 1872 a year before Le Fanu's death, is named from a passage in Corinthians which speaks of humankind perceiving the world ""through a glass darkly."" The stories are told from the posthumous writings of an occult detective named Dr Martin Hesselius. In Green Tea a clergyman is being driven mad by an evil demon that takes the ephemeral form of a monkey, but is unseen by others as it burdens the victim's mind with psychological torment. In The Familiar, revised from Le Fanu's The Watcher of 1851, a sea captain is stalked by a dwarf, ""The Watcher."" Is this strange character from captain's past? In Mr Justice Harbottle a merciless court judge is attacked by vengeful spirits, dreaming he is sentenced to death by a horrific version of himself. The story was revised from 1853's An Account of Some Strange Disturbances in Aungier Street. In The Room in the Dragon Volant, a notable mystery which includes a premature burial theme, an innocent young Englishman in France tries to rescue a mysterious countess from her unbearable situation. Lastly, Carmilla tells the tale of a lesbian vampire. It was a huge influence on Bram Stoker's writing of Dracula and the basis for the films Vampyr in 1932 and The Vampire Lovers in 1970.",['mystery'],glass darkly collect together five short story gothic horror mystery writer sheridan le fanu book publish 1872 year before le fanu death name passage corinthians which speak humankind perceive world through glass darkly story tell posthumous writing occult detective name dr martin hesselius green tea clergyman drive mad evil demon take ephemeral form monkey unseen other burden victim mind psychological torment familiar revise le fanu watcher 1851 sea captain stalk dwarf watcher strange character captain past mr justice harbottle merciless court judge attack vengeful spirit dream he sentence death horrific version himself story revise 1853 account some strange disturbance aungier street room dragon volant notable mystery which include premature burial theme innocent young englishman france try rescue mysterious countess her unbearable situation lastly carmilla tell tale lesbian vampire huge influence bram stoker writing dracula basis film vampyr 1932 vampire lovers 1970,glass darkly collects together five short stories gothic horror mystery writer sheridan le fanu book published 1872 year before le fanu death named passage corinthians which speaks humankind perceiving world through glass darkly stories told posthumous writings occult detective named dr martin hesselius green tea clergyman driven mad evil demon takes ephemeral form monkey unseen others burdens victim mind psychological torment familiar revised le fanu watcher 1851 sea captain stalked dwarf watcher strange character captain past mr justice harbottle merciless court judge attacked vengeful spirits dreaming he sentenced death horrific version himself story revised 1853 account some strange disturbances aungier street room dragon volant notable mystery which includes premature burial theme innocent young englishman france tries rescue mysterious countess her unbearable situation lastly carmilla tells tale lesbian vampire huge influence bram stoker writing dracula basis films vampyr 1932 vampire lovers 1970,"In a Glass Darkly collects together five short stories from gothic horror and mystery writer Sheridan Le Fanu. The book, published in 1872 a year before Le Fanu's death, is named from a passage in Corinthians which speaks of humankind perceiving the world ""through a glass darkly."" The stories are told from the posthumous writings of an occult detective named Dr Martin Hesselius. In Green Tea a clergyman is being driven mad by an evil demon that takes the ephemeral form of a monkey, but is unseen by others as it burdens the victim's mind with psychological torment. In The Familiar, revised from Le Fanu's The Watcher of 1851, a sea captain is stalked by a dwarf, ""The Watcher."" Is this strange character from captain's past? In Mr Justice Harbottle a merciless court judge is attacked by vengeful spirits, dreaming he is sentenced to death by a horrific version of himself. The story was revised from 1853's An Account of Some Strange Disturbances in Aungier Street. In The Room in the Dragon Volant, a notable mystery which includes a premature burial theme, an innocent young Englishman in France tries to rescue a mysterious countess from her unbearable situation. Lastly, Carmilla tells the tale of a lesbian vampire. It was a huge influence on Bram Stoker's writing of Dracula and the basis for the films Vampyr in 1932 and The Vampire Lovers in 1970.",141,"['horror', 'short_stories']"
The Graveyard Book,"Bod is an unusual boy who inhabits an unusual place—he's the only living resident of a graveyard. Raised from infancy by the ghosts, werewolves, and other cemetery denizens, Bod has learned the antiquated customs of his guardians' time as well as their ghostly teachings—such as the ability to Fade so mere mortals cannot see him.

Can a boy raised by ghosts face the wonders and terrors of the worlds of both the living and the dead?

The Graveyard Book is the winner of the Newbery Medal, the Carnegie Medal, the Hugo Award for best novel, the Locus Award for Young Adult novel, the American Bookseller Association’s “Best Indie Young Adult Buzz Book,” a Horn Book Honor, and Audio Book of the Year.",['mystery'],bod unusual boy who inhabit unusual place he only live resident graveyard raise infancy ghost werewolf other cemetery denizen bod learn antiquated custom his guardian time well ghostly teaching such ability fade mere mortal can see he can boy raise ghost face wonder terror world both living dead graveyard book winner newbery medal carnegie medal hugo award good novel locus award young adult novel american bookseller association best indie young adult buzz book horn book honor audio book year,bod unusual boy who inhabits unusual place he only living resident graveyard raised infancy ghosts werewolves other cemetery denizens bod learned antiquated customs his guardians time well ghostly teachings such ability fade mere mortals can see him can boy raised ghosts face wonders terrors worlds both living dead graveyard book winner newbery medal carnegie medal hugo award best novel locus award young adult novel american bookseller association best indie young adult buzz book horn book honor audio book year,"Bod is an unusual boy who inhabits an unusual place—he's the only living resident of a graveyard. Raised from infancy by the ghosts, werewolves, and other cemetery denizens, Bod has learned the antiquated customs of his guardians' time as well as their ghostly teachings—such as the ability to Fade so mere mortals cannot see him.
Can a boy raised by ghosts face the wonders and terrors of the worlds of both the living and the dead?
The Graveyard Book is the winner of the Newbery Medal, the Carnegie Medal, the Hugo Award for best novel, the Locus Award for Young Adult novel, the American Bookseller Association’s “Best Indie Young Adult Buzz Book,” a Horn Book Honor, and Audio Book of the Year.",79,['horror']
"Full Dark, No Stars","Full Dark, No Stars, published in November 2010, is a collection of four novellas by American author Stephen King, all dealing with the theme of retribution. One of the novellas, 1922, is set in Hemingford Home, Nebraska, which is the home of Mother Abagail from King's epic novel The Stand (1978), the town the adult Ben Hanscom moves to in It (1986), and the setting of the short story ""The Last Rung on the Ladder"" (1978). 

The collection won the 2011 Bram Stoker Award for Best Collection, and the 2011 British Fantasy Award for Best Collection. Also, 1922 was nominated for the 2011 British Fantasy Award for Best Novella.

Contains:

 - [1922][2]
 - [A Good Marriage][3]
 - [Big Driver][4]
 - Fair Execution


  [1]: https://www.stephenking.com/library/story_collection/full_dark_no_stars.html
  [2]: https://openlibrary.org/works/OL19781625W/1922
  [3]: https://openlibrary.org/works/OL19781665W/A_Good_Marriage
  [4]: https://openlibrary.org/works/OL19781688W/Big_Driver",['mystery'],full dark stars publish november 2010 collection four novella american author stephen king all deal theme retribution one novella 1922 set hemingford home nebraska which home mother abagail king epic novel stand 1978 town adult ben hanscom move 1986 setting short story last rung ladder 1978 collection win 2011 bram stoker award best collection 2011 british fantasy award best collection also 1922 nominate 2011 british fantasy award best novella fair execution,full dark stars published november 2010 collection four novellas american author stephen king all dealing theme retribution one novellas 1922 set hemingford home nebraska which home mother abagail king epic novel stand 1978 town adult ben hanscom moves 1986 setting short story last rung ladder 1978 collection won 2011 bram stoker award best collection 2011 british fantasy award best collection also 1922 nominated 2011 british fantasy award best novella fair execution,"Full Dark, No Stars, published in November 2010, is a collection of four novellas by American author Stephen King, all dealing with the theme of retribution. One of the novellas, 1922, is set in Hemingford Home, Nebraska, which is the home of Mother Abagail from King's epic novel The Stand (1978), the town the adult Ben Hanscom moves to in It (1986), and the setting of the short story ""The Last Rung on the Ladder"" (1978). 
The collection won the 2011 Bram Stoker Award for Best Collection, and the 2011 British Fantasy Award for Best Collection. Also, 1922 was nominated for the 2011 British Fantasy Award for Best Novella.
   
   
   
   Fair Execution",71,"['horror', 'short_stories']"
The Queen of the Damned,"The third book in The Vampire Chronicles, Queen of the Damned, follows three parallel storylines.

The rock star Vampire Lestat prepares for a concert in San Francisco, unaware that hundreds of vampires will be among the fans that night and that they are committed to destroying him for risking exposing them all.

The sleep of a group of men and women, vampires and mortals, around the world is disturbed by a mysterious dream of red-haired twins who suffer an unspeakable tragedy. The dreamers, as if pulled, move toward each other, the nightmare becoming clearer the closer they get. Some die on the way, some live to face they terrifying fate their pilgrimage is building to.

Lestat's journey to a cavern deep beneath a Greek Island on his quest for the origins of the vampire race awakened Akasha, Queen of the Damed and mother of all vampires, from her 6,000 year sleep. Awake and angry, Akasha plans to save mankind from itself by elevating herself and her chosen son/lover to the level of the gods.

As these three threads wind seamlessly together, the origins and culture of vampires are revealed, as is the length and breadth of their effect on the mortal world. The threads are brought together in the twentieth century when the fate of the living and the living dead is rewritten. 
([source][1])


  [1]: http://annerice.com/Bookshelf-QueenDamned.html",['mystery'],third book vampire chronicles queen damned follow three parallel storyline rock star vampire lestat prepare concert san francisco unaware hundred vampire will among fan night committed destroy he risk expose all sleep group man woman vampire mortal around world disturb mysterious dream red haired twin who suffer unspeakable tragedy dreamer pull move toward each other nightmare become clear close get some die way some live face terrifying fate pilgrimage build lestat journey cavern deep beneath greek island his quest origin vampire race awaken akasha queen damed mother all vampire her 6000 year sleep awake angry akasha plan save mankind itself elevate herself her choose son lover level god three thread wind seamlessly together origin culture vampire reveal length breadth effect mortal world thread bring together twentieth century when fate living live dead rewrite,third book vampire chronicles queen damned follows three parallel storylines rock star vampire lestat prepares concert san francisco unaware hundreds vampires will among fans night committed destroying him risking exposing all sleep group men women vampires mortals around world disturbed mysterious dream red haired twins who suffer unspeakable tragedy dreamers pulled move toward each other nightmare becoming clearer closer get some die way some live face terrifying fate pilgrimage building lestat journey cavern deep beneath greek island his quest origins vampire race awakened akasha queen damed mother all vampires her 6000 year sleep awake angry akasha plans save mankind itself elevating herself her chosen son lover level gods three threads wind seamlessly together origins culture vampires revealed length breadth effect mortal world threads brought together twentieth century when fate living living dead rewritten,"The third book in The Vampire Chronicles, Queen of the Damned, follows three parallel storylines.
The rock star Vampire Lestat prepares for a concert in San Francisco, unaware that hundreds of vampires will be among the fans that night and that they are committed to destroying him for risking exposing them all.
The sleep of a group of men and women, vampires and mortals, around the world is disturbed by a mysterious dream of red haired twins who suffer an unspeakable tragedy. The dreamers, as if pulled, move toward each other, the nightmare becoming clearer the closer they get. Some die on the way, some live to face they terrifying fate their pilgrimage is building to.
Lestat's journey to a cavern deep beneath a Greek Island on his quest for the origins of the vampire race awakened Akasha, Queen of the Damed and mother of all vampires, from her 6,000 year sleep. Awake and angry, Akasha plans to save mankind from itself by elevating herself and her chosen son/lover to the level of the gods.
As these three threads wind seamlessly together, the origins and culture of vampires are revealed, as is the length and breadth of their effect on the mortal world. The threads are brought together in the twentieth century when the fate of the living and the living dead is rewritten. 
()",133,['horror']
Welcome to Dead House,"Amanda and Josh think the old house they have just moved into is weird. Spooky. Possibly haunted. And the town of Dark Falls is pretty strange, too. But their parents don't believe them. You'll get used to it, they say. Go out and make some new friends. So Amanda and Josh do. But these new friends are not exactly what their parents had in mind. Because they want to be friends...forever.",['mystery'],amanda josh think old house just move into weird spooky possibly haunted town dark falls pretty strange too parent believe will get use say go out make some new friend amanda josh new friend exactly what parent mind because want friend forever,amanda josh think old house just moved into weird spooky possibly haunted town dark falls pretty strange too parents believe will get used say go out make some new friends amanda josh new friends exactly what parents mind because want friends forever,"Amanda and Josh think the old house they have just moved into is weird. Spooky. Possibly haunted. And the town of Dark Falls is pretty strange, too. But their parents don't believe them. You'll get used to it, they say. Go out and make some new friends. So Amanda and Josh do. But these new friends are not exactly what their parents had in mind. Because they want to be friends...forever.",42,"['horror', 'mystery_and_detective_stories']"
Nightmares & Dreamscapes,"A solitary finger pokes out of a drain. Novelty teeth turn predatory. Flies settle and die on an old pair of sneakers in New York, and the Nevada desert swallows a Cadillac. Meanwhile the legend of Castle Rock returns . . . and grows on you. What does it all mean? What else could it mean? First there was Night Shift (1978), then Skeleton Crew (1985), and now Stephen King is back with a third collection of stories--a vast, many-chambered cave of a volume, with passages leading every which way to hell . . . and a few to glory.

The long reach of Stephen King's imagination and the no-holds-barred force of his storytelling have never been so richly demonstrated. There's something here for readers of every stripe and predilection--classic tales of the macabre and the monstrous, cutting-edge explorations of the borderlands between good and evil, brilliant pastiches of Chandler and Conan Doyle, even a teleplay and a non-fiction bonus, a heartfelt piece of Little League baseball that first appeared in The New Yorker.

In story after story, several published here for the first time, he will take you to places you've never been before, places that are both dark and vividly illuminated. Fair warning: You will lose a good deal of sleep. But Stephen King, writing to beat the devil, will do your dreaming for you.

Can you believe? Then come . . .
([source][1])


----------
Contains:

 - [Dolan's Cadillac][2]
 - [The End of the Whole Mess][3]
 - Suffer the Little Children
 - [The Night Flier][4]
 - Popsy
 - It Grows on You
 - [Chattery Teeth][5]
 - [Dedication][6]
 - [The Moving Finger][7]
 - [Sneakers][8]
 - [You Know They Got a Hell of a Band][9]
 - [Home Delivery][10]
 - [Rainy Season][11]
 - [My Pretty Pony][12]
 - Sorry, Right Number
 - [The Ten O'Clock People][13]
 - [Crouch End][14]
 - [The House on Maple Street][15]
 - The Fifth Quarter
 - [The Doctor's Case][16]
 - [Umney's Last Case][17]
 - Head Down
 - Brooklyn August


  [1]: https://stephenking.com/library/story_collection/nightmares__dreamscapes_flap.html
  [2]: https://openlibrary.org/works/OL14916968W/Dolan's_Cadillac
  [3]: https://openlibrary.org/works/OL19650789W/The_End_of_the_Whole_Mess
  [4]: https://openlibrary.org/works/OL19650747W/The_Night_Flier
  [5]: https://openlibrary.org/works/OL19650843W/Chattery_Teeth
  [6]: https://openlibrary.org/works/OL19650711W/Dedication
  [7]: https://openlibrary.org/works/OL19650782W/The_Moving_Finger
  [8]: https://openlibrary.org/works/OL19650831W/Sneakers
  [9]: https://openlibrary.org/works/OL19650807W/You_Know_They_Got_a_Hell_of_a_Band
  [10]: https://openlibrary.org/works/OL19650837W/Home_Delivery
  [11]: https://openlibrary.org/works/OL19650825W/Rainy_Season
  [12]: https://openlibrary.org/works/OL81590W/My_Pretty_Pony
  [13]: https://openlibrary.org/works/OL19650723W/The_Ten_O'Clock_People
  [14]: https://openlibrary.org/works/OL19650699W/Crouch_End
  [15]: https://openlibrary.org/works/OL19650797W/The_House_on_Maple_Street
  [16]: https://openlibrary.org/works/OL19650676W/The_Doctor's_Case
  [17]: https://openlibrary.org/works/OL14917659W/Umney's_Last_Case",['mystery'],solitary finger poke out drain novelty tooth turn predatory fly settle die old pair sneaker new york nevada desert swallow cadillac meanwhile legend castle rock return grow what all mean what else could mean first there night shift 1978 then skeleton crew 1985 now stephen king back third collection story vast many chambered cave volume passage lead every which way hell few glory long reach stephen king imagination hold barred force his storytelling never richly demonstrate there something here reader every stripe predilection classic tale macabre monstrous cut edge exploration borderland between good evil brilliant pastiche chandler conan doyle even teleplay non fiction bonus heartfelt piece little league baseball first appear new yorker story after story several publish here first time he will take place never before place both dark vividly illuminated fair warning will lose good deal sleep stephen king write beat devil will dreaming can believe then come suffer little children popsy grow sorry right number fifth quarter head down brooklyn august,solitary finger pokes out drain novelty teeth turn predatory flies settle die old pair sneakers new york nevada desert swallows cadillac meanwhile legend castle rock returns grows what all mean what else could mean first there night shift 1978 then skeleton crew 1985 now stephen king back third collection stories vast many chambered cave volume passages leading every which way hell few glory long reach stephen king imagination holds barred force his storytelling never richly demonstrated there something here readers every stripe predilection classic tales macabre monstrous cutting edge explorations borderlands between good evil brilliant pastiches chandler conan doyle even teleplay non fiction bonus heartfelt piece little league baseball first appeared new yorker story after story several published here first time he will take places never before places both dark vividly illuminated fair warning will lose good deal sleep stephen king writing beat devil will dreaming can believe then come suffer little children popsy grows sorry right number fifth quarter head down brooklyn august,"A solitary finger pokes out of a drain. Novelty teeth turn predatory. Flies settle and die on an old pair of sneakers in New York, and the Nevada desert swallows a Cadillac. Meanwhile the legend of Castle Rock returns . . . and grows on you. What does it all mean? What else could it mean? First there was Night Shift (1978), then Skeleton Crew (1985), and now Stephen King is back with a third collection of stories  a vast, many chambered cave of a volume, with passages leading every which way to hell . . . and a few to glory.
The long reach of Stephen King's imagination and the no holds barred force of his storytelling have never been so richly demonstrated. There's something here for readers of every stripe and predilection  classic tales of the macabre and the monstrous, cutting edge explorations of the borderlands between good and evil, brilliant pastiches of Chandler and Conan Doyle, even a teleplay and a non fiction bonus, a heartfelt piece of Little League baseball that first appeared in The New Yorker.
In story after story, several published here for the first time, he will take you to places you've never been before, places that are both dark and vividly illuminated. Fair warning: You will lose a good deal of sleep. But Stephen King, writing to beat the devil, will do your dreaming for you.
Can you believe? Then come . . .
()
   
   
   Suffer the Little Children
   
   Popsy
   It Grows on You
   
   
   
   
   
   
   
   
   Sorry, Right Number
   
   
   
   The Fifth Quarter
   
   
   Head Down
   Brooklyn August",164,"['horror', 'short_stories']"
Just After Sunset,"This is Stephen's fifth short story collection.

 - [Willa][1]
 - [The Gingerbread Girl][2]
 - Harvey's Dream
 - Rest Stop
 - [Stationary Bike][3]
 - [The Things They Left Behind][4]
 - Graduation Afternoon
 - [N.][5]
 - The Cat From Hell
 - The New York Times at Special Bargain Rates
 - [Mute][6]
 - Ayana
 - [A Very Tight Place][7]


  [1]: https://openlibrary.org/works/OL19650880W/Willa
  [2]: https://openlibrary.org/works/OL14917109W/The_Gingerbread_Girl
  [3]: https://openlibrary.org/works/OL149163W/Stationary_Bike
  [4]: https://openlibrary.org/works/OL19651736W/The_Things_They_Left_Behind
  [5]: https://openlibrary.org/works/OL19651691W/N.
  [6]: https://openlibrary.org/works/OL19651758W/Mute
  [7]: https://openlibrary.org/works/OL19651790W/A_Very_Tight_Place",['mystery'],stephen fifth short story collection harvey dream rest stop graduation afternoon cat hell new york times special bargain rates ayana,stephen fifth short story collection harvey dream rest stop graduation afternoon cat hell new york times special bargain rates ayana,"This is Stephen's fifth short story collection.
   
   
   Harvey's Dream
   Rest Stop
   
   
   Graduation Afternoon
   
   The Cat From Hell
   The New York Times at Special Bargain Rates
   
   Ayana",20,"['horror', 'short_stories']"
Fallen Hearts,"With Fallen Hearts, V.C. Andrews returns again to the number one best-selling saga of the Casteels, continuing the story that was begun in Heaven and Dark Angel.

In Fallen Hearts, Heaven returns to her Winnerow and begins to live out her childhood dreams--she becomes a respected schoolteacher at the local school and marries her sweetheart, Logan Stonewall. After their wedding trip back to Farthinggale Manor, Tony Tatterton persuades Heaven and Logan to stay in Boston, offering Logan a fabulous job and promising to share with Heaven all the Tatterton wealth and privilege. But old ghosts begin to rise up once more, writhing around Heaven's fragile happiness, threatening her precious love with scandal and jealousy. Once again, V.C. Andrews tells an enthralling tale of sinister passions and dangerous dreams.",['mystery'],fallen hearts vc andrews return again number one good selling saga casteels continue story begin heaven dark angel fallen hearts heaven return her winnerow begin live out her childhood dream she become respected schoolteacher local school marry her sweetheart logan stonewall after wedding trip back farthinggale manor tony tatterton persuade heaven logan stay boston offer logan fabulous job promise share heaven all tatterton wealth privilege old ghost begin rise up once more writhe around heaven fragile happiness threaten her precious love scandal jealousy once again vc andrews tell enthralling tale sinister passion dangerous dream,fallen hearts vc andrews returns again number one best selling saga casteels continuing story begun heaven dark angel fallen hearts heaven returns her winnerow begins live out her childhood dreams she becomes respected schoolteacher local school marries her sweetheart logan stonewall after wedding trip back farthinggale manor tony tatterton persuades heaven logan stay boston offering logan fabulous job promising share heaven all tatterton wealth privilege old ghosts begin rise up once more writhing around heaven fragile happiness threatening her precious love scandal jealousy once again vc andrews tells enthralling tale sinister passions dangerous dreams,"With Fallen Hearts, V.C. Andrews returns again to the number one best selling saga of the Casteels, continuing the story that was begun in Heaven and Dark Angel.
In Fallen Hearts, Heaven returns to her Winnerow and begins to live out her childhood dreams  she becomes a respected schoolteacher at the local school and marries her sweetheart, Logan Stonewall. After their wedding trip back to Farthinggale Manor, Tony Tatterton persuades Heaven and Logan to stay in Boston, offering Logan a fabulous job and promising to share with Heaven all the Tatterton wealth and privilege. But old ghosts begin to rise up once more, writhing around Heaven's fragile happiness, threatening her precious love with scandal and jealousy. Once again, V.C. Andrews tells an enthralling tale of sinister passions and dangerous dreams.",94,['horror']
My Sweet Audrina,"My Sweet Audrina is a 1982 novel by V. C. Andrews. It was the only stand-alone novel published during Andrews' lifetime and was a number-one best-selling novel in North America. The story takes place in the Mid-Atlantic United States during the 1960s and 1970s. The story features diverse subjects, such as brittle bone disease, rape, posttraumatic stress disorder and diabetes, in the haunting setting of a Victorian-era mansion near the fictitious River Lyle.",['mystery'],sweet audrina 1982 novel andrews only stand alone novel publish during andrews lifetime number one good sell novel north america story take place mid atlantic united states during 1960 1970 story feature diverse subject such brittle bone disease rape posttraumatic stress disorder diabetes haunt setting victorian era mansion near fictitious river lyle,sweet audrina 1982 novel andrews only stand alone novel published during andrews lifetime number one best selling novel north america story takes place mid atlantic united states during 1960s 1970s story features diverse subjects such brittle bone disease rape posttraumatic stress disorder diabetes haunting setting victorian era mansion near fictitious river lyle,"My Sweet Audrina is a 1982 novel by V. C. Andrews. It was the only stand alone novel published during Andrews' lifetime and was a number one best selling novel in North America. The story takes place in the Mid Atlantic United States during the 1960s and 1970s. The story features diverse subjects, such as brittle bone disease, rape, posttraumatic stress disorder and diabetes, in the haunting setting of a Victorian era mansion near the fictitious River Lyle.",52,['horror']
The Voice of the Night,"No one could understand why Colin and Roy were best friends. They were complete opposites. Colin was fascinated by Roy--and Roy was fascinated by death. Then one day Roy asked: ""You ever killed anything?"" And from that moment on, the two were bound together in a game to terrifying to imagine.",['mystery'],one could understand why colin roy good friend complete opposite colin fascinate roy roy fascinate death then one day roy ask ever kill anything moment two bind together game terrifying imagine,one could understand why colin roy best friends complete opposites colin fascinated roy roy fascinated death then one day roy asked ever killed anything moment two bound together game terrifying imagine,"No one could understand why Colin and Roy were best friends. They were complete opposites. Colin was fascinated by Roy  and Roy was fascinated by death. Then one day Roy asked: ""You ever killed anything?"" And from that moment on, the two were bound together in a game to terrifying to imagine.",31,['horror']
The Long Walk,"The Long Walk is a dystopian horror novel by American writer Stephen King, published in 1979, under the pseudonym Richard Bachman. It was collected in 1985 in the hardcover omnibus The Bachman Books, and has seen several reprints since, as both paperback and hardback.

Set in a future dystopian America, ruled by a totalitarian and militaristic dictator, the plot revolves around the contestants of a grueling, annual walking contest. In 2000, the American Library Association listed The Long Walk as one of the 100 best books for teenage readers published between 1966 and 2000.


----------
Also contained in:

 - [The Bachman Books][2]
 - [The Bachman Books](https://openlibrary.org/works/OL24796729W)



  [1]: https://stephenking.com/library/bachman_novel/long_walk_the.html
  [2]: https://openlibrary.org/works/OL81591W/The_Bachman_Books_(Rage_The_Long_Walk_Roadwork_The_Running_Man)",['mystery'],long walk dystopian horror novel american writer stephen king publish 1979 under pseudonym richard bachman collect 1985 hardcover omnibus bachman books see several reprint since both paperback hardback set future dystopian america rule totalitarian militaristic dictator plot revolve around contestant grueling annual walking contest 2000 american library association list long walk one 100 good book teenage reader publish between 1966 2000 also contain,long walk dystopian horror novel american writer stephen king published 1979 under pseudonym richard bachman collected 1985 hardcover omnibus bachman books seen several reprints since both paperback hardback set future dystopian america ruled totalitarian militaristic dictator plot revolves around contestants grueling annual walking contest 2000 american library association listed long walk one 100 best books teenage readers published between 1966 2000 also contained,"The Long Walk is a dystopian horror novel by American writer Stephen King, published in 1979, under the pseudonym Richard Bachman. It was collected in 1985 in the hardcover omnibus The Bachman Books, and has seen several reprints since, as both paperback and hardback.
Set in a future dystopian America, ruled by a totalitarian and militaristic dictator, the plot revolves around the contestants of a grueling, annual walking contest. In 2000, the American Library Association listed The Long Walk as one of the 100 best books for teenage readers published between 1966 and 2000.
Also contained in:",63,['horror']
The Masque of the Red Death,"""The Masque of the Red Death"" (originally published as ""The Mask of the Red Death: A Fantasy"") is a short story by American writer Edgar Allan Poe, first published in 1842. The story follows Prince Prospero's attempts to avoid a dangerous plague, known as the Red Death, by hiding in his abbey. He, along with many other wealthy nobles, hosts a masquerade ball in seven rooms of the abbey, each decorated with a different color. In the midst of their revelry, a mysterious figure disguised as a Red Death victim enters and makes his way through each of the rooms. Prospero dies after confronting this stranger, whose ""costume"" proves to contain nothing tangible inside it; the guests also die in turn.

The story was first published in May 1842 in Graham's Magazine and has since been adapted in many different forms, including a 1964 film starring Vincent Price. Poe's short story has also been alluded to by other works in many types of media.",['mystery'],masque red death originally publish mask red death fantasy short story american writer edgar allan poe first publish 1842 story follow prince prospero attempt avoid dangerous plague know red death hide his abbey he along many other wealthy noble host masquerade ball seven room abbey each decorate different color midst revelry mysterious figure disguise red death victim enter make his way through each room prospero die after confront stranger whose costume prove contain nothing tangible inside guest also die turn story first publish may 1842 graham magazine since adapt many different form include 1964 film star vincent price poe short story also allude other work many type medium,masque red death originally published mask red death fantasy short story american writer edgar allan poe first published 1842 story follows prince prospero attempts avoid dangerous plague known red death hiding his abbey he along many other wealthy nobles hosts masquerade ball seven rooms abbey each decorated different color midst revelry mysterious figure disguised red death victim enters makes his way through each rooms prospero dies after confronting stranger whose costume proves contain nothing tangible inside guests also die turn story first published may 1842 graham magazine since adapted many different forms including 1964 film starring vincent price poe short story also alluded other works many types media,"""The Masque of the Red Death"" (originally published as ""The Mask of the Red Death: A Fantasy"") is a short story by American writer Edgar Allan Poe, first published in 1842. The story follows Prince Prospero's attempts to avoid a dangerous plague, known as the Red Death, by hiding in his abbey. He, along with many other wealthy nobles, hosts a masquerade ball in seven rooms of the abbey, each decorated with a different color. In the midst of their revelry, a mysterious figure disguised as a Red Death victim enters and makes his way through each of the rooms. Prospero dies after confronting this stranger, whose ""costume"" proves to contain nothing tangible inside it; the guests also die in turn.
The story was first published in May 1842 in Graham's Magazine and has since been adapted in many different forms, including a 1964 film starring Vincent Price. Poe's short story has also been alluded to by other works in many types of media.",108,['horror']
Roadwork,"Roadwork is a thriller novel by American writer Stephen King, published in 1981 under the pseudonym Richard Bachman as a paperback original. It was collected in 1985 in the hardcover omnibus The Bachman Books.

The story takes place in an unnamed Midwestern city in 1972–1974. Grieving over the death of his son and the disintegration of his marriage, a man is driven to mental instability when he learns that both his home and his workplace will be demolished to make way for an extension to an interstate highway.


----------
Also contained in: 

 - [The Bachman Books][2]
 - [The Bachman Books](https://openlibrary.org/works/OL24796729W)



  [2]: https://openlibrary.org/works/OL81591W/The_Bachman_Books_(Rage_The_Long_Walk_Roadwork_The_Running_Man)",['mystery'],roadwork thriller novel american writer stephen king publish 1981 under pseudonym richard bachman paperback original collect 1985 hardcover omnibus bachman books story take place unnamed midwestern city 19721974 grieve over death his son disintegration his marriage man drive mental instability when he learn both his home his workplace will demolish make way extension interstate highway also contain,roadwork thriller novel american writer stephen king published 1981 under pseudonym richard bachman paperback original collected 1985 hardcover omnibus bachman books story takes place unnamed midwestern city 19721974 grieving over death his son disintegration his marriage man driven mental instability when he learns both his home his workplace will demolished make way extension interstate highway also contained,"Roadwork is a thriller novel by American writer Stephen King, published in 1981 under the pseudonym Richard Bachman as a paperback original. It was collected in 1985 in the hardcover omnibus The Bachman Books.
The story takes place in an unnamed Midwestern city in 1972–1974. Grieving over the death of his son and the disintegration of his marriage, a man is driven to mental instability when he learns that both his home and his workplace will be demolished to make way for an extension to an interstate highway.
Also contained in:",57,['horror']
