title,description,subjects
The Long Walk,"The Long Walk is a dystopian horror novel by American writer Stephen King, published in 1979, under the pseudonym Richard Bachman. It was collected in 1985 in the hardcover omnibus The Bachman Books, and has seen several reprints since, as both paperback and hardback.

Set in a future dystopian America, ruled by a totalitarian and militaristic dictator, the plot revolves around the contestants of a grueling, annual walking contest. In 2000, the American Library Association listed The Long Walk as one of the 100 best books for teenage readers published between 1966 and 2000.


----------
Also contained in:

 - [The Bachman Books][2]
 - [The Bachman Books](https://openlibrary.org/works/OL24796729W)



  [1]: https://stephenking.com/library/bachman_novel/long_walk_the.html
  [2]: https://openlibrary.org/works/OL81591W/The_Bachman_Books_(Rage_The_Long_Walk_Roadwork_The_Running_Man)",['horror']
The Masque of the Red Death,"""The Masque of the Red Death"" (originally published as ""The Mask of the Red Death: A Fantasy"") is a short story by American writer Edgar Allan Poe, first published in 1842. The story follows Prince Prospero's attempts to avoid a dangerous plague, known as the Red Death, by hiding in his abbey. He, along with many other wealthy nobles, hosts a masquerade ball in seven rooms of the abbey, each decorated with a different color. In the midst of their revelry, a mysterious figure disguised as a Red Death victim enters and makes his way through each of the rooms. Prospero dies after confronting this stranger, whose ""costume"" proves to contain nothing tangible inside it; the guests also die in turn.

The story was first published in May 1842 in Graham's Magazine and has since been adapted in many different forms, including a 1964 film starring Vincent Price. Poe's short story has also been alluded to by other works in many types of media.",['horror']
Darkness Comes,A blizzard brings a city to a standstill-and ushers in an evil that defies imagination.,['horror']
Roadwork,"Roadwork is a thriller novel by American writer Stephen King, published in 1981 under the pseudonym Richard Bachman as a paperback original. It was collected in 1985 in the hardcover omnibus The Bachman Books.

The story takes place in an unnamed Midwestern city in 1972–1974. Grieving over the death of his son and the disintegration of his marriage, a man is driven to mental instability when he learns that both his home and his workplace will be demolished to make way for an extension to an interstate highway.


----------
Also contained in: 

 - [The Bachman Books][2]
 - [The Bachman Books](https://openlibrary.org/works/OL24796729W)



  [2]: https://openlibrary.org/works/OL81591W/The_Bachman_Books_(Rage_The_Long_Walk_Roadwork_The_Running_Man)",['horror']
Skulduggery Pleasant,"Meet the great Skulduggery Pleasant: wise-cracking detective, powerful magician, master of dirty tricks and burglary (in the name of the greater good, of course). Oh yeah. And dead. Then there's his sidekick, Stephanie. She's...well, she's a twelve-year-old girl. With a pair like this on the case, evil had better watch out...""So you won't keep anything from me again? ""He put his hand to his chest. ""Cross my heart and hope to die."" ""Okay then. Though you don't actually have a heart,"" she said. ""I know."" ""And technically, you've already died."" ""I know that too."" ""Just so we're clear."" Stephanie's uncle Gordon is a writer of horror fiction. But when he dies and leaves her his estate, Stephanie learns that while he may have written horror, it certainly wasn't fiction. Pursued by evil forces intent on recovering a mysterious key, Stephanie finds help from an unusual source – the wisecracking skeleton of a dead wizard. When all hell breaks loose, it's lucky for Skulduggery that he's already dead. Though he's about to discover that being a skeleton doesn't stop you from being tortured, if the torturer is determined enough. And if there's anything Skulduggery hates, it's torture...Will evil win the day? Will Stephanie and Skulduggery stop bickering long enough to stop it? One thing's for sure: evil won't know what's hit it.","['horror', 'magic']"
Blood and Gold,"The latest mesmerising and exotic Vampire Chronicle from the mistress of the genre - a must for all readers of The Vampire Armand.Here is the gorgeous and sinister story of Marius, patrician by birth, scholar by choice, one of the oldest vampires of them all, which sweeps from his genesis in ancient Rome, in the time of the Emperor Augustus, to his meeting in the present day with a creature of snow and ice. Thorne is a Northern vampire in search of Maharet, his 'maker', the ancient Egyptian vampire queen who holds him and others in thrall with chains made of her red hair, 'bound with steel and with her blood and gold'. When the Visigoths sack his city, Marius is there; with the resurgence of the glory that was Rome, he is there, still searching for his lost love Pandora, but bewitched in turn by Botticelli, the Renaissance beauty Bianca, with her sordid secrets, and the boy he calls Amadeo (otherwise known as the Vampire Armand). Criss-crossing through the stories of other vampires from Rice's glorious Pantheon of the undead, haunted by Pandora and by his alter ego Mael, tracked by the Talamasca, the tale of Marius, the self-styled guardian of 'those who must be kept' is the most wondrous and mind-blowing of them all.",['horror']
Lasher,"The Talamasca, documenters of paranormal activity, is on the hunt for the newly born Lasher. Mayfair women are dying from hemorrhages and a strange genetic anomaly has been found in Rowan and Michael. Lasher, born from Rowan, is another species altogether and now in the corporeal body, represents an incalcuable threat to the Mayfairs. Rowan and Lasher travel together to Houston and she becomes pregnant with another creature like him, a Taltos. Lasher seeks to reproduce his race in other women, but they cannot withstand it. Rowan escapes and becomes comatose as her fully-grown Taltos daughter is born. The Mayfairs declare all-out war on Lasher and try to nurse Rowan back to heatlth.

Michael remains entwined in the Mayfair family and learns how he comes by his strange powers. Michael's ghostly visiting from a long-dead Mayfair reveals the importance of destroying Lasher. In the investigation, Lasher's origins are revealed, the new Taltos Emaleth returns, and the climax of death and life engulfs the family.
([source][1])


  [1]: http://annerice.com/Bookshelf-Lasher.html",['horror']
The Ghost Next Door,"Hannah's boring summer changes when a new boy, who seems to disappear in the strangest ways, moves in next door.",['horror']
The Institute,"In the middle of the night, in a house on a quiet street in suburban Minneapolis, intruders silently murder Luke Ellis’s parents and load him into a black SUV. The operation takes less than two minutes. Luke will wake up at The Institute, in a room that looks just like his own, except there’s no window. And outside his door are other doors, behind which are other kids with special talents—telekinesis and telepathy—who got to this place the same way Luke did: Kalisha, Nick, George, Iris, and ten-year-old Avery Dixon. They are all in Front Half. Others, Luke learns, graduated to Back Half, “like the roach motel,” Kalisha says. “You check in, but you don’t check out.”

In this most sinister of institutions, the director, Mrs. Sigsby, and her staff are ruthlessly dedicated to extracting from these children the force of their extranormal gifts. There are no scruples here. If you go along, you get tokens for the vending machines. If you don’t, punishment is brutal. As each new victim disappears to Back Half, Luke becomes more and more desperate to get out and get help. But no one has ever escaped from the Institute.

As psychically terrifying as Firestarter, and with the spectacular kid power of It, The Institute is Stephen King’s gut-wrenchingly dramatic story of good vs. evil in a world where the good guys don’t always win.",['horror']
The Damned Thing,"""The Damned Thing"" is a horror short story written by American Civil War soldier, wit, and writer Ambrose Bierce. It first appeared in Town Topics on December 7, 1893.",['horror']
Revival,"In a small New England town over half a century ago, a boy is playing with his new toy soldiers in the dirt when he looks up to see a striking man, the new minister, Jamie learns later he is a man who with his beautiful wife will transform the church and the town. The men and boys are a bit in love with Mrs. Jacobs; the women and girls, with the Reverend Jacobs -- including Jamie's sisters and mother. Then tragedy strikes, and this charismatic preacher curses God, and is banished from the shocked town. Jamie has demons of his own. Wed to his guitar from age 13, he plays in bands across the country, running from his own family tragedies, losing one job after another when his addictions get the better of him. Decades later, sober and living a decent life, he and Reverend Charles Jacobs meet again in a pact beyond even the Devil's devising, and the many terrifying meanings of Revival are revealed. King imbues this spectacularly rich and dark novel with everything he knows about music, addiction, and religious fanaticism, and every nightmare we ever had about death.",['horror']
Cycle of the Werewolf,"A werewolf is stalking Tarker's Mills and only young, wheelchair-bound Marty Coslaw suspects the truth. He enlists the help of his black sheep uncle to identify the shape shifter and destroy him.

([source][1])


  [1]: https://stephenking.com/library/novel/cycle_of_the_werewolf.html",['horror']
Fright Night,"Adapted from the 1985 film, Fright Night featured the continuing adventures of movie star/vampire killer/TV horror host Peter Vincent and his teenage monster-hunter sidekick Charley Brewster.  In addition to dealing with the resurrected Evil Ed, Jerry Dandrige and other vampires, the duo also squared off against a squid-man, spider-boy, minotaur, aliens and various other monsters. Many stories were spread across two-issues with running plots throughout the series. 

Charley's girlfriends (Amy and Alex) were immediately forgotten and ultimately replaced by Natalia Hinnault, who had her own ties to the vampire underworld. Natalia's eccentric Aunt Claudia possessed supernatural abilities and, along with hapless bartender Derek Jones, who was a reluctant magnet for unworldly beings, they soon formed The Anti-Monster Society to deal with the vampire coven The Legion of the Endless Night as well as other villains.

Readers were not given any indication that the series was going to end when Now Comics filed for bankruptcy in 1990.  Issue #23 didn't go to press and no closure was given to the newly-begun storyline which found Jerry Dandrige amassing a legion of vampires in France. In 1992, the publisher briefly returned with a series of 3-D annuals which included three reprints and the previously-unpublished story ""Nightmares"" which was planned to have been the 23rd issue.

22 monthly issues, 4 special 3-D issues and a stand-alone adaptation of ""Fright Night Part 2"" have been released.",['horror']
Tales of Mystery and Imagination [29 stories],"Tales of Mystery and Imagination, London: George Harrap and New York: Brentanos, 1919. (This famous and frequently copied collection features elaborate illustrations by Harry Clarke. The original edition comprised 24 black and white illustrations, plus front cover and spine illustration and 10 decorative tailpieces. The book was so well received that it was reissued in 1923 with 8 additional illustrations in full color. It was reprinted in New York by Tudor in 1933, 1935, 1936 and 1939. These illustrations have been reprinted numerous times, most notably in London by Chancellor Press in 1985.) [(source)](https://www.eapoe.org/works/editions/index.htm#poe)

Contains:
[Assignation](https://openlibrary.org/works/OL15645797W)
[Berenice](https://openlibrary.org/works/OL15645808W)
[Black Cat](https://openlibrary.org/works/OL41068W)
Bon-Bon
[Cask of Amontillado](https://openlibrary.org/works/OL41016W)
Colloquy of Monos and Una
Conversation of Eiros and Charmion
[Descent into the Maelstrom](https://openlibrary.org/works/OL273476W)
[Facts in the Case of M. Valdemar](https://openlibrary.org/works/OL40987W)
[Fall of the House of Usher](https://openlibrary.org/works/OL40987W)
Gold Bug
King Pest
[Landor's Cottage](https://openlibrary.org/works/OL15646005W)
Ligeia
Lionizing
Man of the Crowd
[Masque of the Red Death](https://openlibrary.org/works/OL41050W)
Metzengerstein
Morella
Ms. Found in a Bottle
Murders in the Rue Morgue
Mystery of Marie Roget
Oblong Box
[Pit and the Pendulum](https://openlibrary.org/works/OL273550W)
[Premature Burial](https://openlibrary.org/works/OL24583029W)
[Silence — A Fable](https://openlibrary.org/works/OL13370628W)
Spectacles
[Tell-tale Heart](https://openlibrary.org/works/OL41059W)
[William Wilson](https://openlibrary.org/works/OL16088822W)",['horror']
The Spook's Curse,"The Spook and his apprentice, Thomas Ward, rid the county of witches, ghosts, boggarts, and other creatures of the dark. And there’s some unfinished business to attend to in Priestown. Deep in the catacombs lurks a creature the Spook has never been able to defeat. The Bane! 

But the Bane is not their only enemy. The Quisitor arrives, intent on hunting down anyone who meddles with the dark. Thomas Ward and the Spook must prepare for the battle of their lives.","['horror', 'young_adult_fiction']"
Night Chills,"Designed by top scientists and unleashed in a monstrous conspiracy, night chills are seizing the men and women of Black River--driving them to acts of rape and murder. The nightmare is real. And death is the only cure...",['horror']
Demon Seed,A woman is imprisoned and tortured by her state-of-the-art computer security system--and its perverse desire...,['horror']
Wings in the Night,"This latest volume in the planned ten-volume set of The Weird Works of Robert E. Howard collects Robert E. Howard's fiction and prose published in Weird Tales from July 1932 to May 1933. These works represent literary stepping-stones to Howard's infamous Cthulhu mythos stories and his most famous character of all--Conan the Cimmerian--and ably demonstrate that each of Howard's stories improved and added to his formidable skills as a master of fantasy and adventure. Wings in the Night includes ""Phoenix on the Sword,"" the historically important first Conan story, establishing the very unique character of Conan, and sets in place the history and many of the attributes of the Hyborian Age, from which all the later stories would flow. Includes two more Conan stories: ""The Scarlet Citadel"" and ""The Tower of the Elephant!""",['horror']
Histoires Extraordinaires (Balloon-Hoax / Descent into the Maelstrom / Facts in the Case of M. Valdemar / Gold-Bug / Ligeia / Mesmeric Revelation / Metzengerstein / Morella / MS. Found in a Bottle / Murders in the Rue Morgue / Purloined Letter / Tale of the Ragged Mountains / Unparalleled Adventure of One Hans Pfaall),"Contains:
Balloon-Hoax
[Descent into the Maelstrom](https://openlibrary.org/works/OL273476W)
[Facts in the Case of M. Valdemar](https://openlibrary.org/works/OL40987W)
Gold-Bug
Ligeia
[Mesmeric Revelation](https://openlibrary.org/works/OL15646037W)
Metzengerstein
Morella
MS. Found in a Bottle
Murders in the Rue Morgue
[Purloined Letter](https://openlibrary.org/works/OL41065W)
Tale of the Ragged Mountains
Unparalleled Adventure of One Hans Pfaall","['horror', 'mystery_and_detective_stories']"
Goosebumps - Deep Trouble,"Billy and his sister, Sheena, are visiting their uncle Dr. Deep on a tiny Caribbean island. It's the perfect place to go exploring underwater...and Billy's ready for an adventure. There's only one rule to remember: Stay away from the coral reefs. Still, the reefs are so beautiful. So peaceful. Billy can't resist. But he's not alone in the water. Something's lurking deep below the surface. Something dark and scaly. Something's half-human, half-fish...",['horror']
Twilight's Child,"**As Mrs. James Gary Longchamp, Dawn is blissfully happy. But a legacy of deceit and betrayal still haunts her...**

At last, Dawn can create a haven of warmth and love for her beautiful baby girl, Christie, and her darling Jimmy. Dawn is a huge success as the new owner of the Cutler's Cove hotel... and soon she and Jimmy will be blessed with a child of their own.


Yet Dawn cannot quell her forebodings of evil. She can sense Grandmother Cutler's presence everywhere... can feel her bitter hatred as if the old lady plotted her vengeance from the grave. When Dawn discovers that her brother, Philip, still clings to his mad, shameful passion for her, she is heartstricken. Her spiteful, jealous sister, Clara, is far easier to ignore... until the day Clara's childish rage explodes into violence, destroying Dawn's most cherished, precious dream.

Then Christie's father, debonair singing star Michael Sutton, returns. Now, as the heartaches and scandals of the past threaten to engulf her, Dawn must fight for her steadfast Jimmy... for only with Jimmy's love can she find the rainbow at the end of the storm.",['horror']
Someone Like You [18 stories],"Someone Like You is a collection of short stories by Roald Dahl. It was published in 1953 by Alfred Knopf.

The 18 stories featured are:

[Taste](https://openlibrary.org/works/OL15091200W/Taste)
[Lamb to the Slaughter](https://openlibrary.org/works/OL20504418W/Lamb_to_the_Slaughter)
[Man from the South](https://openlibrary.org/works/OL20504421W/Man_from_the_South)
[The Soldier](https://openlibrary.org/works/OL20504424W/The_Soldier)
[My Lady Love, My Dove](https://openlibrary.org/works/OL20504441W/My_Lady_Love_My_Dove)
[Dip in the Pool](https://openlibrary.org/works/OL20504442W/Dip_in_the_Pool)
[Galloping Foxley](https://openlibrary.org/works/OL20504444W/Galloping_Foxley)
[Skin](https://openlibrary.org/works/OL20504460W/Skin)
[Poison](https://openlibrary.org/works/OL20504477W/Poison)
[Wish](https://openlibrary.org/works/OL20504494W/The_Wish)
[Neck](https://openlibrary.org/works/OL20504509W/Neck)
[Sound Machine](https://openlibrary.org/works/OL8318678W/The_Sound_Machine)
[Nunc Dimittis](https://openlibrary.org/works/OL20504524W/Nunc_Dimittis)
[Great Automatic Grammatizator](https://openlibrary.org/works/OL20504542W/The_Great_Automatic_Grammatizator)
Claud's Dog

 - [Ratcatcher](https://openlibrary.org/works/OL20504625W/The_Ratcatcher)
 - [Rummins](https://openlibrary.org/works/OL20504633W/Rummins)
 - [Mr Hoddy](https://openlibrary.org/works/OL20504639W/Mr_Hoddy)
 - [Mr Feasey](https://openlibrary.org/works/OL20504641W/Mr_Feasey)

([source](https://www.roalddahl.com/roald-dahl/stories/p-t/someone-like-you))

----------
Contained in:
[Kiss, Kiss / Over to You / Switch Bitch / Someone Like You / Four Tales of the Unexpected / My Uncle Oswald](https://openlibrary.org/works/OL20504258W)",['horror']
Scary stories to tell in the dark,"Stories of ghosts and witches, ""jump"" stories, scary songs, and modern-day scary stories.",['horror']
More Scary Stories to Tell in the Dark,"More traditional and modern-day stories of ghosts, witches, vampires, ""jump"" stories, and scary songs.",['horror']
The Tell-Tale Heart,"""The Tell-Tale Heart"" is a short story by American writer Edgar Allan Poe, first published in James Russell Lowell's The Pioneer in January 1843. ""The Tell-Tale Heart"" is often considered a classic of the Gothic fiction genre and is one of Poe's best known short stories. It is related by an unnamed narrator who endeavors to convince the reader of the narrator's sanity while simultaneously describing a murder the narrator committed.",['horror']
Blackwood Farm,"Publication to coincide with new Vampire Chronicle BLOOD CANTICLE in hardback.Lestat is back, saviour and demon, presiding over a gothic story of family greed and hatred through generations, a terrifying drama of blood lust and betrayal, possession and matricide.Blackwood Farm with its grand Southern mansion, set among dark cypress swamps in Louisiana, harbours terrible blood-stained secrets and family ghosts. Heir to them all is Quinn Blackwood, young, rash and beautiful, himself a 'bloodhunter' whom Lestat takes under his wing. But Quinn is in thrall not only to the past and his own appetites but, even more dangerously, to a companion spirit, a 'goblin' succubus who could destroy him and others. Only the unearthly power of Lestat combined with the earthly powers of the Mayfair clan could hope to save Quinn from himself and his ghosts, or to rescue the doomed girl Quinn loves from her own mortality- Shocking, savage and richly erotic, this novel with the deceptively gentle title bring us Anne Rice at her most powerfully disturbing. Here are vampires and witches, men and women, demons and a doppelg-nger, caught up in a maelstrom of death and destruction, blood and fire, cruelty and fate.",['horror']
Bitten,"An addictive, deeply enjoyable thrill ride on the frontier of the feral and feminine...a debut novel of astonishing imaginative power from the future queen of suspense.Elena Michaels slips out of bed, careful not to wake her boyfriend. He hates it when she disappears in the middle of the night, and can't understand why any normal woman would crave the small hours of the morning, the dark unsafe downtown streets. But Elena's skin is tingling, the pent-up energy feels like it's about to blow her muscles apart — she can't put it off any longer. She loves to run at the edge of the city, but she doesn't have time to get there. She has to slink into an alley, take off her clothes and hide them carefully, and make the Change.Elena's trying hard to be normal. She hates her strength, and her wildness, and her hunger for food, for sex, for running in the night, for the chase and the kill. She wants a husband, children...even a mother-in-law. Or at least that's what she tells herself.And then the inevitable happens. The Pack needs her. The Pack she loves and hates is under siege from a bunch of disreputable and ruthless mutts who are threatening to expose them all, breaking all the rules that have kept them safe. The loyalty of her nature calls her home, and into the fight, which tests just who Elena is: the wild woman or the wistful would-be human.",['horror']
The Terror,"The bestselling author of Ilium transforms the story of the ill-fated Franklin Expedition into a devastating historical adventure that will chill you to your core.The men on board Her Britannic Majesty's Ships Terror and Erebus had every expectation of triumph. They were part of Sir John Franklin's 1845 expedition – as scientifically advanced an enterprise as had ever set forth – and theirs were the first steam-driven vessels to go in search of the fabled North-West Passage. But the ships have now been trapped in the Arctic ice for nearly two years. Coal and provisions are running low. Yet the real threat isn't the constantly shifting landscape of white or the flesh-numbing temperatures, dwindling supplies or the vessels being slowly crushed by the unyielding grip of the frozen ocean. No, the real threat is far more terrifying. There is something out there that haunts the frigid darkness, which stalks the ships, snatching one man at a time – mutilating, devouring. A nameless thing, at once nowhere and everywhere, this terror has become the expedition's nemesis. When Franklin meets a terrible death, it falls to Captain Francis Crozier of HMS Terror to take command and lead the remaining crew on a last, desperate attempt to flee south across the ice. With them travels an Eskimo woman who cannot speak. She may be the key to survival – or the harbinger of their deaths. And as scurvy, starvation and madness take their toll, as the Terror on the ice become evermore bold, Crozier and his men begin to fear there is no escape...","['horror', 'thriller']"
A thin ghost and others,"This volume of M.R. James's classic ghostly fiction contains: ""Preface,"" ""The Residence at Whitminster,"" ""The Diary of Mr. Poynter,"" ""The Episode of Cathedral History, ""The Story of a Disappearance and an appearance,"" and ""Two Doctors.""About this volume, the author wrote: ""I have had my doubts about the wisdom of publishing a third set of tales; sequels are, not only proverbially but actually, very hazardous things. However, the tales make no pretence but to amuse, and my friends have not seldom asked for the publication. So not a great deal is risked, perhaps, and perhaps also some one's Christmas may be the cheerfuller for a storybook which, I think, only once mentions the war.""",['horror']
Scary Stories 3,"Great Book !  
Best for kids 10-14
Does chill your bones",['horror']
Stolen,"It was in Bitten, Kelley Armstrong’s debut novel, that thirty-year-old Elena Michaels came to terms with her feral appetites and claimed the proud identity of a beautiful, successful woman—and the only living female werewolf.In Stolen, on a mission for her own elite pack, she is lured into the net of ruthless Internet billionaire Tyrone Winsloe, who has funded a bogus scientific investigation of the “other races” and their supernatural powers. Kidnapped and studied in his underground lab deep in the Maine woods, these paranormals—witches, vampires, shamans, werewolves—are then released and hunted to the death in a real-world video game. But when Winsloe captures Elena, he finally meets his match.",['horror']
Great American Short Stories,"Contains:
Rip Van Winkle / Washington Irving --
[Young Goodman Brown](https://openlibrary.org/works/OL455569W/Young_Goodman_Brown) / Nathaniel Hawthorne --
[Fall of the house of Usher](https://openlibrary.org/works/OL41078W) / Edgar Allan Poe --
[Bartleby the scrivener](https://openlibrary.org/works/OL102732W/Bartleby_the_Scrivener) / Herman Melville --
Baker's bluejay yarn / Mark Twain --
Tennessee's partner / Bret Harte --
The real thing / Henry James --
The boarded window / Ambrose Bierce --
A village singer / Mary Wilkins Freeman --
Mrs.Ripley's trip / Hamlin Garland --
A muncipial report / O. Henry --
Roman fever / Edith Wharton --
The open boat / Stephen Crane --
Unlighted lamps / Sherwood Anderson --
The man who saw through heaven / Wilbur Daniel Steele --
Silent snow, secret snow / Conrad Aiken --
He / Katherine Anne Porter --
The catbird seat / James Thurber --
The little wife / William March --
[Wash](https://openlibrary.org/works/OL16245840W/Wash) / William Faulkner --
The snake / John Steinbeck --
To the mountains / Paul Horgan --
Over the river and through the wood / John O'Hara --
The wind and the snow of winter / Walter Van Tilburg Clark --
Powerhouse / Eudora Welty --
In greenwich there are many gravelled walks / Hortense Calisher.",['horror']
Harvest home,"It was almost as if time had not touched the village of Cornwall Coombe. The quiet, peaceful place was straight out of a bygone era, with well-cared-for Colonial houses, a white-steepled church fronting a broad Common. Ned and Beth Constantine chanced upon the hamlet and immediately fell in love with it. This was exactly the haven they dream of. Or so they thought.

For Ned and his family, Cornwall Coombe was to become a place of ultimate horror.",['horror']
"Great Tales and Poems of Edgar Allan Poe [21 stories, 34 poems]","21 stories:
[Tell-tale Heart](https://openlibrary.org/works/OL41059W)
[Cask of Amontillado](https://openlibrary.org/works/OL41016W)
Hop-Frog
[Black Cat](https://openlibrary.org/works/OL41068W)
Ligeia
[Assignation](https://openlibrary.org/works/OL15645797W)
The Oval Portrait .
[Masque of the Red Death](https://openlibrary.org/works/OL41050W)
[Fall of the House of Usher](https://openlibrary.org/works/OL40987W)
The Murders in the Rue Morgue .
The Mystery of Marie Roget
[Purloined Letter](https://openlibrary.org/works/OL41065W)
Gold-Bug
Shadow—A Parable .
MS Found in a Bottle .
[Descent into the Maelstrom](https://openlibrary.org/works/OL273476W)
[Pit and the Pendulum](https://openlibrary.org/works/OL273550W)
The Sphinx
The Man of the Crowd
The System of Doctor Tarr and Professor Fether
[William Wilson](https://openlibrary.org/works/OL16088822W)

34 poems:
Alone
[Annabel Lee](https://openlibrary.org/works/OL273456W)
A Pæan
Bells
Bridal Ballad
City in the Sea
Conqueror Worm
Dream
Dream-Land
Dreams
Dream Within a Dream
Eldorado
Eulalie
Evening Star
For Annie
Haunted Palace
Imitation
In Youth I Have Known One
Israfel
Lenore
[Raven](https://openlibrary.org/works/OL41081W)
Romance
Silence
Sleeper
Song
Spirits of the Dead
To
To
To Helen
To Helen
To Science
To the River
Ulalume
Valley of Unrest",['horror']
The Ghost Pirates,"""The old ship, the *Mortzestus*, is beset by mysterious phenomena - - shadowy figures emerging from the sea, men hurled from aloft by invisible hands and the vessel itself seemingly trapped in a world of mist.  The horrors reach a climax when ghost pirates swarm aboard to sink the ship and only one man survives to tell the story."" - - Description by Peter Haining, in ""A Century of Ghost Novels 1900 - 2000"" (Appendix to his book, The Mammoth Book of Modern Ghost Stories)",['horror']
Nightmare Hour - Time for Terror,"""These are my scariest stories ever,"" says R. L. Stine, ""because I wrote them at the Nightmare Hour."" You know when that is...it's when the lights fade, the real world spins into shadow--and the cold, moonlit world of evil dreams takes over your mind.What horror awaits a boy who has to spend Halloween in the hospital? How do you outwit a ghost who wants your skin? Why is Nightmare Inn the most terrifying place to visit?R. L. Stine, the #1 bestselling children's authors of all time, spins a web of horror and more. For the first time ever, he shares the secret behind each story, revealing where the idea for each tale came from.Here are ten stories that will bring a shiver at any hour and take you to the scariest place of all--inside the mind of R. L. Stine.",['horror']
Ancient Sorceries,"By turns bizarre, unsettling, spooky, and sublime, Ancient Sorceries and Other Weird Stories showcases nine incomparable stories from master conjuror Algernon Blackwood. Evoking the uncanny spiritual forces of Nature, Blackwood's writings all tread the nebulous borderland between fantasy, awe, wonder, and horror. Here Blackwood displays his best and most disturbing work-including ""The Willows,"" which Lovecraft singled out as ""the single finest weird tale in literature""; ""The Wendigo""; ""The Insanity of Jones""; and ""Sand.""",['horror']
Selected English Short Stories (Nineteenth Century),"Scott, Sir Walter. The two drovers. Wandering Willie's tale.	
Lamb, Charles. The witch aunt.	
Irving, Washington. Rip Van Winkle.	
Hawthorne, Nathaniel. The snow image. The threefold destiny. [Dr. Heidegger's experiment](https://openlibrary.org/works/OL455515W). Howe's masquerade.	
Disraeli, Benjamin. Ixion in heaven.	
Poe, E.A. [Fall of the House of Usher](https://openlibrary.org/works/OL41078W). [Pit and the Pendulum](https://openlibrary.org/works/OL273550W). [Eleonora](https://openlibrary.org/works/OL14937980W).	
Gaskell, Elizabeth C. The squire's story.	
Brown, Dr. John. Rab and his friends.	
Dickens, Charles. The seven poor travellers.	
Trollope, Anthony. Malachi's cove.	
Meredith, George. The punishment of Shahpesh, the Persian, on Khipil, the builder.	
White, W.H. Mr Whittaker's retirement.	
Morris, William. The story of the unknown church.	
Garnett, Richard. The dumb oracle.	
Harte, F.B. Miggles. Tennessee's partner. The Iliad of Sandy Bar. Mliss.	
Stevenson, R.L. Markheim. Thrawn Janet. Providence and the guitar.	
Gissing, George. Christopherson.	
Coleridge, Mary. The king is dead, long live the king.	
Crackenthorpe, Hubert. Saint-Pé.",['horror']
The Mist,"David Drayton, his son Billy, and their neighbor Brent Norton head to the local grocery store to replenish supplies following a freak storm. Once there, they and other local citizens are trapped by a strange mist that has enveloped the town and in which strange creatures are lurking. As the mist takes its toll on the nerves of those trapped in the store, a religious zealot, Mrs. Carmody begins to play on their fears to convince them that this is God’s vengeance for their sins and that a sacrifice must be made and two groups—those for and those against—are aligned. When it is realized that staying in the store may prove fatal, a small group including the Draytons, store employee Ollie Weeks, Amanda Dumfries, Irene Reppler, and Dan Miller attempt to make their escape. They find that what’s “out there” may be worse than what they left behind.
([source][1])


----------
Contained in:

 - [Dark Forces](https://openlibrary.org/works/OL8136624W/Dark_Forces)
 - [Skeleton Crew](https://openlibrary.org/works/OL149161W)

  [1]: https://stephenking.com/library/novella/mist_the.html",['horror']
Night of the Living Dummy III,Trina's dad used to be a ventriloquist; his dummies are in the attic. Trina and her brother Dan hear voices in the attic; are the dummies alive?,['horror']
The Bachman Books (Long Walk / Rage / Roadwork / Running Man),"Omnibus collection of four early Bachman novels ([Rage][1], [The Long Walk][2], [Roadwork][3], [The Running Man][4]) and the essay ""Why I Was Bachman""
([source][5])


  [1]: https://openlibrary.org/works/OL149154W/Rage
  [2]: https://openlibrary.org/works/OL14917769W/The_Long_Walk
  [3]: https://openlibrary.org/works/OL149156W/Roadwork
  [4]: https://openlibrary.org/works/OL149188W/The_Running_Man
  [5]: https://stephenking.com/library/bachman_novel/bachman_books_the.html",['horror']
The Fall of the House of Usher and Other Tales [15 stories],"[Assignation](https://openlibrary.org/works/OL15645797W)
Balloon-Hoax
[Black Cat](https://openlibrary.org/works/OL41068W)
[Cask of Amontillado](https://openlibrary.org/works/OL41016W)
[Descent into the Maelstrom](https://openlibrary.org/works/OL273476W)
Diddling
[Fall of the House of Usher](https://openlibrary.org/works/OL40987W)
Man That Was Used Up
[Masque of the Red Death](https://openlibrary.org/works/OL41050W)
Ms. Found in a Bottle
Murders in the Rue Morgue
Narrative of Arthur Gordon Pym
[Pit and the Pendulum](https://openlibrary.org/works/OL273550W)
[Purloined Letter](https://openlibrary.org/works/OL41065W)
[Tell-tale Heart](https://openlibrary.org/works/OL41059W)",['horror']
Hellboy,"A collection of graphic stories about Hellboy, a creature summoned by a sorcerer working for Hitler in 1944.",['horror']
Grendel,Grendel-Prime struggles to fulfill his destiny in a diseased and ugly world.,['horror']
Tales of the Grotesque and Arabesque,"Morella --
Lionizing --
[William Wilson](https://openlibrary.org/works/OL16088822W)
The man that was used up --
[Fall of the House of Usher](https://openlibrary.org/works/OL41078W)
The Duc de l'Omelette --
Ms. found in a bottle --
Bon-bon --
Shadow --
The devil in the belfry --
Ligeia --
King Pest --
The Signora Zenobia --
The scythe of time --
Epimanes --
Siope --
Hans Phaall --
A tale of Jerusalem --
Von Jung --
Loss of breath --
Metzengerstein --
[Berenice](https://openlibrary.org/works/OL15645808W)
Why the little Frenchman wears his hand in a sling --
[Assignation](https://openlibrary.org/works/OL15645797W)
The conversation of Eiros and Charmion.",['horror']
